               Cros line         Edge length(bp)
                   1                  63
                   2                  63
                   3                  63
                   4                  63
                   5                  63
                   6                  63
                   7                  63
                   8                  63
                   9                  63
                  10                  63
                  11                  63
                  12                  63
                  13                  73
                  14                  73
                  15                  73
                  16                  73
                  17                  73
                  18                  73
                  19                  95
                  20                  95
                  21                  95
                  22                  95
                  23                  95
                  24                  95
                  25                  95
                  26                  95
                  27                  95
                  28                  95
                  29                  95
                  30                  95
                  31                  73
                  32                  73
                  33                  73
                  34                  73
                  35                  73
                  36                  73

            Edge length(bp)      # of edges
                  63                  12
                  73                  12
                  95                  12
